Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricep Pushdown,70lbs,1,10,,,,,,,19533.804,,Preacher Curls Dumbbell,30lbs,1,10,,,,,,,,,,,,,
,70lbs,2,10,,,,,,,pounds,,,30lbs,2,10,,,,,,,,,,,,,
,70lbs,3,10,,,,,,,,,,30lbs,3,10,,,,,,,,,,,,,
Hammer Curls,30lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,30lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,1,,,
Date,December/15/2025,,,,,Date,December/16/2025,,,,,Date,December/18/2025,,,,,Date,December/19/2025,,,,,Date,"Dec 7, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-35lbs,1,10,,,Leg Press,190lbs,1,10,1900,,Decline Cable Press,,1,,,,Romania Dead Lifts,,1,,,,7:45/km,38:45:00,10.28km,01:39:44,9:42/km
,-35lbs,2,9,,,,190lbs,2,10,1900,,,,2,,,,,,2,,,,,,,,
,-35lbs,3,8,,,,190lbs,3,10,1900,,,,3,,,,,,3,,,,,,,,
Incline Bench Press Machine,88lbs,1,10,,,Hip Thrust,154lbs,1,10,1540,,Straight Arm Pulldown,,1,,,,Leg Press,,1,,,,,,,,
,99lbs,2,8,,,,154lbs,2,10,1540,,,,2,,,,,,2,,,,,,,,
,88lbs,3,10,,,,154lbs,3,10,1540,,,,3,,,,,,3,,,,,,,,
Shoulder Press Machine,44lbs,1,10,,,Leg Curls,99lbs,1,10,990,,Lateral Dumbbell Raises,,1,,,,Leg Curls,,1,,,,,,,,
,44lbs,2,10,,,,99lbs,2,10,990,,,,2,,,,,,2,,,,,,,,
,44lbs,3,10,,,,99lbs,3,10,990,,,,3,,,,,,3,,,,,,,,
